id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
c6,ff8c27b386c777c5,24bfff,73,36b6e4,08,32,7d37a0,78eb41,cf5429d2ab32f738,72aa1c,05ac27,869444c2b156bf5dd655ba,d5e2244fd45517778f0345,72,e5,d439e8e55c8aee,e177de87b6,953fdf5a1c6a31b3e4,7e6e15f81e9e0b4b90,2e19b0,fb1cabee944996028f,c9d7d901940155d796a8,6ab66d,2a8734,ad83fd,88fd27,a8c3,b830,4d,8d,1d,fc,9f,82,6d,3f,9a,77,a1,e7,1b,7d,7625d00ceace,d9
2c,9d2fdf38dee85343,afa274,48,ba6377,e081,589c,3a3ff3,4bbdaa2589,b764d0fef2c98906ed,9254,390ca1,6950d0e3efec1e25eee8de,b660ed056e492360ad4e0a,62,df22,928acbc790f7,0aed8edb610d32d488,f8a9ecc2380613dadd,738a8c780dbe53ac82f9,8f4a12,bbfcb84c3c1e7e15a298,588ce31c312593c93f88,72ca83,6ceeae,bec46f,cdfc48,eac7,e1ae50de,64,44,92de,71,86,6f,98,d6,ac,b0,b6,ff,6d,a1,390b1fb51c8b,13
66,3076739a2faea1de,5a445b,59,247bfd,20,860d,0f522a,56741961eb,9f8a0b54fe01c624cd,b30d,582b35,b8f9ad7e43d0aaae60c218,d909a4d641d2bf8d698b75,e6,14,2216b2311258ab4f8e4e,443bfe2cabb49306bd90,19478ee4d8464c63d55a2e,3a0da375f0c87734699320,b0c98b,a3fefa4a1fb892bb9032,1966321872cfe7650972,6e6d62,b5869b309b2f26f8,ae7910783e00ec94,0d14660ab09e84de,ea0e,8a51b5,86,c7,2e,b4,60,cb,46,8a,a2,f5,d0,64,98,4a,79cd73933c25,3e
fb,45db6b6780740222,95f9a7,91682d,93cbda,8344,8724,7d0f76,bb3af6,7ed409bf4a05b1ac28,2b5a,9f52ce,492a9b5e7fa55d3729af9d,0a1ba692e7b146622059,94,e9,f6de461be3255ae9447b,c40d69cb282556843c,3514b4601d5fc3d8f254,c75b2e09ec1a2378324110,c11d9d,da74a4c02d5c56fd4317,b39d19efae3535965997,05569b,e31168,3a5ac1,fb448b,3018,1336,bd,0a,6d,f8,f0,fa,13,fc,12,6c,f3,f7,66,26,312066f04e2f,7f
c8,8720a7518f8e6a84,0c0812,a2,d4427e,5244,89,d19756,64603c,8f71813ae9bdb43cad,60750f,643f96,1fabc7613cfaccfba85255,0cdeb7eca45e7c956963be,30,27,d798b3d32358d40a52,0fb464c5ace218aa29,363a34b87c5cbf8f6fa0fd,b62367d70ad385,733138,af77458e71b70870407a,125bde3500f9f879b4e5,43323c,456bbe0f831cd9d8,f2fd283f84fe275c,7800206221ce8f22,ae69,0ca6,62,8f,73c6,d9,ba,35,2f,7d15,fa,0a,e0,2b,3554,fa,34acac1272fc,80
e4,7fcd1f89ceb64a68,cbcc2d,37,8f9df0,eaa5,90,a787e4,ae0754,c58598e5134c3eae,4144ef,69cdca,3d478a2c57c594f263d4f3,7401a8fc504ac2def78dfe,41,eb,d776351b1271a5064a,ae0496600872,f7a87d23bec0ea131bf62c,618b9df85abbff,96ded5,f804b6d49817094566ce,82742704e7c77333fb29,533f57,57f99d0ac85143f9,50727ad14dae4c5e,01e77694e8a61e8e,bb46,abb9,08,27,2103,53,86,af,5b,99e8,2c,7c,99,33,8bf4,61,f0115036ee95,89
79,49df2a7408e7c700,a57458,27,cd60ec,6b35,a5,0fdae7,334135,e76a70f3fdc7ff86d4,399f0c,4111f2,94b5db826a84192a55a981,4de6c59566327673d07f,b0,02,058f3bab1b55d707b5,5d1b968f02372b3517,3a6a2f6665bf1bede73d,497db8fd165b7ee0db1d,8d432d,cf5a94bf9d83559d67bc,678b790b69a8f892df21,3a6017,980d53dd677e9aad,a92a79986843f80e,84f59c8bf4290319,2a2a,b4e7,cb,1c,03e6,57,63,3c,f9,55ca,c7,4b,f5,78,3add,07,635f5d52d379,ec
5c,c32e8dba3082b166,402a3b,fd,03db09,dd75,02,641c4a,68068a,f172b22410ca1f5b1e,21250d,9dfa26,d1d45f08fca485363b469d,9761089a8222aa01209a,f2,53,89718b83d67d,abc62c6d7f58db9ce0,b381a62048fcd66fbad45e,e21fd5ba3cb3a4b9ad9f,e290ba,cfdf39e3bf428ee7f0,ec5805e14f620a9cef,540b67,46c0af470737c587,4ad940f729f45662,da2bd97bb60a19,1f79,d4cf,92,8e,2abd,d9,0b,d3,c6,6e01,fe,06,36,5c,cac7,f4,d7882ba0eca1,ea
c1,e631277334a9270b,434baa,79,d18829,af8c,d3,ecba43,9b37d0,a851244be637e814be,4fdce2,cc6b0a,dd5604374b93834005e285,e6458f2530a118635b1d56,fd,83,e9d2efc872cbfa05e2,97d26fa532a6,aeccd5793d99bca589645a,9d02e25de6287fcc3e6a,194d4d,e485ba482dfd079c70,760e985a0cb14e216c75,c806bc,62a5fd1605e8c260,32d0c0d22a57d408,ac11da06c98a6bce,1ff6,4c0f,22,64,7b36,95,d1,54,01,bd7e,06,0a,3a,52,0739,39,b20a270f400d,9e
9939,1dabc86b676e09e3,449488,7c,b94ec4,f791,a6,7f7be4,5fbe83,2faf21a54d30585b93,e7d0b1,fc1305,b9c57dcfd47afdf958b3d0,dfd8b88d8aea8c32cc6356,6c,02,28f7c9ae08a09fcbed,7565da2c9c50e21c9d,215648f2e09bf080b7e7bc,da38b9df915f85257a,090496,fc590133def22d24fa88,fc37dabd4edef1b981,f42b35,466676e6e7ab57ac,aeff557b6c996710,3a056bc877fd1e7a,bf01,6f29,75,b3,4c0e,ad,ea,af,e3,49d6,5c,ed,83,4d,4c22,0f,834b15ce23b0,99
2bc6,aa421378795405f8,950c66,e3,28ecca,d570,c7,75b7c731,9fe91d,0471d457a939b63585,2dc2a9,e422c2,2f1c863f31b60cea46790f,abc387292f1e3d7f816b30,6f,46,2f76d356ca0b74eed2,28423a36b529a0e7cb,566102ed66fd0797be2105,6f40f44c2c34efc1f2,d07782,150fea2ef6ff988f6a,73a3c1d0ddae4f34aa8b,96e52f,6a03e276b5974085,bc9a9ee2df002414,4f06b1dae0db6a3d,5b4afd,bc82,87,17,52c6,80,c0,8e,a4,f0,e9,76,07,8a,13,e5,64bb97a4afe5,93
1577,f9a7ba8df9e4000a,e814b4,228311df,b08500,c719,573c,aed107ad9c,9ac045f7,c04aa5c1c6a2890eaf,ea01,ec5caa,7f4d1a3613343e0e6597,f95d35cb57e50cc34fa98c,41e1,e6,5d37bd16aa49ad7af9,3744ec1e2d0ce44e40,d9956bfa544681c61bc6f4,f341a16ef9f7001e6a41,1793d4,ee7a4bb858ed8ec81e7b,01d04ee3526a383e22,0b953b,d690f69325594d,bca13eac23f07c91,b65be99a3bedb8f5,527878,2a16,c5,cd,71,80,0e,69,4e,96,c1,70,38,31,ad,31,f4c3f6cc28f1,1d
6944,2a1042ce53bf1e91,da0ee8,8e,c1aaff,1be9,1f,57e2e7,90d74f,4a423693c431cfe95a,fc6024,d7f055,f0be92bb8f59eed25c6e98,a3effac60a53a0352f3edc,31,fb,1fcee74896ffc1d375,a58d079f8012d5263a,dec90b378a5bb79e24d991,3e6048afab257f8874,fa5a64,fb0d801eb8ab2845,08ed267a043dded36ea2,b18c1b,407f91a1305eb485,fc543cdb1f869abe,8a9c2c108577889d,b9ee,9e3c,92,63,f2d4,69,b3,b5,b7,3684,ad,2d,bb,ed,19db,61,191b4c91b93e,3f
0714,59bffd88b2cb5062,dbd526,fc,4c090e,8a2f,14,3a526c,9e63c1,d9d58900efceb157a1,4e8f22,8c068b,f54e8ee3eac1af418d98bd,d13fd4f9d5cea9e8d3c15d,c1,c1,da2aec79ffffdc848549,71dccd79f678,12466b5e7b6317b2e85096,7f7fabf5ba0ffa815e61,cf0342,dca3a54097c91fa6fbf4,2eccf0a098d89af5548d,4126f6,f9e017532ae7533c,8d6003cc98e929,e7adb48b33a8780c,d7e2,3b5e,1f,39,86e8,f3,59,49,c1,ad,24,22,fe,08,e9,42,6a70df9813df,54
f1fc,919e974f4845227c,270b64,b8,0c373c,7133,8f,478b58,6dce79,20fe39035633b0fe86,090e16,9e64b2,fc33ec1ab308ab4566a5f3,41ce2cbece3ebaff63a560,fc,9a,529b747b145b5f0400,f44705e7c96bae35,4ddc1f7aa86dac80e3af77,af4dfef0c8fe6cfe2380,2976d0,3ecff836731647f701ab,236358aa541b424718b3,1ff844,0f77ceb1302105e4,d6b16f379d6811c3,9dfc77cefc2eebbc,1ad6,c8e9,82,92,bb2a,f9,30,cd,5d,8dd4,e9,2f,1a,64,7c8d,54,a8e3183a1ca1,ad
021c,19b5cecc9d,de9fbb,b290ef3b,4f99f4,6a,1a,de76d1,5c,87c3663960188921f07a7f,5d2e30,6e,72fe88d7dfe7c625958b44,71dd0d,49,c3,bcedcd49d8,e3fe1f,32282d,8a29b4,6d,b7,7b,ab,6619b8,af54b6,70266c,8d01,1d,57,d0,64,f7,f1,e8,e9,2c,e2,44,66,58,98,08,5d6c3e8ba084,4a
9aa5,5d05045485a090c5,f90c0e,6e,090892,713d,6c,d14e7d,be4f7e,63fb76ac15c41cf42e,77d71f,f7de69,c84608d41a59eb7566fe85,55e5cbda45889ae70e2466,f0,c6,9bd84b8b006f3e0d65,cc2a3de3d2e53fd29d08,d279ef28357e6e59d66a6b,b9675efc7a41085392e4,9ef7db,79ce634848d2a9bb68ee,af32bac4a3751d130184,026b00,50c7cc3a71547359,253ee98a0031c574,1462c9fea0c66c9b,8f20,a30e,65,9e,9980,78,1b,85,3e,63af,46,a9,17,bd,22b4,24,c57b9321646b,52
9ed5,08fe82e047030ad5,8a3d6b,d99e8b85,124b6e,bbae,42,6d20a2,cd58f406,076bd06e226f2a78ec,a445,2ab1f0,5bb080cbc908283818f730,5c5b7ee7f5b2339b2103d3,15,64,ee8171709a5630a703,8fa539337de495ea7a,264a303bcea1d8a95dd267,97faa83030b9a440db,571ec0,1fe6558e2d4e2445fc57,3e4a3d49fb5e9e7f42ae,c5be20,53524acee9c4887e,1ec1ed8df8059a3c,db6becd45309d828,e842,1738d5,35,e25384,d3,dd,c7,b3,3e,ae,c2,ff,35,2e,46,e8,b13764338c62,ce
fcaf,ad0d267433007dbc,431ec6,44,e354a0,bd8b,d0,f9d7e4,00ee24,7325ce8843ea5a577b,4a0de9,ea6fed,19a08d49c4225fdf0ed1,a7ff1defec72f3c1255c57,d8,2a,9e263bf393eb4725cd,68624f7b34fac52723,8035c31cde65a1aa603da6,75a4d5a9d9dc5d7600a5,8a13e0,a6576b0c3b8d2f9908,9a400dd5565abf4a0231,e6e186,1115d3eba1bf5285,f78adaab2c468a8c,7f18af2eb87731ad,7544,5077,f8,59,5c13,2e,45,d6,5f,cfa1,cc,71,46,5e,ec4a,f2,3bd20b42ed08,0d
5a9c,2903fcab1628cd,d386d5,49,e59c42,c05c,40,142f90,2f661f,a7906bf9c6f6afe863,0e4bdb,460cf3,9f51fc8f48db411886f58e,fc11786e70c818165a6c09,fa,b9,c3e5a157db30fc496c,5041b45da569d92a30,83a05ef97806cfa98144ec,31a0f68f05cbdfd632b7,6705ed,6894ce5877ace540c009,cc5cdcbec9870a1ac8,81f627,c47992ca989a7935,936011ec680be976,4a72b0ed74ba8004,8a67,64fd,d7,80,14f7,de,1d,1a,48,c43e,7e,df,05,41,6603,34,7e12c362c09e,df
8f02,e3eda8a3324707,562c33,c1,b59b72,316b,f9,573718,b134a0,c1fd51b9434092a140,946a75,7a6b88,bbcb9663b75b9d439547c7,a35766cba410d979f3a5eb,c8,69,58add55a499b0c03af,3bf7b3c56a47,a96b0e3fc3d57691cf67bf,a3b8f199aed303f7fc,3076f8,a08a4ef2f4d6a090160d,b6d3e2e8e09e1dead1,fcc948,7650c5d8194c6ea7,7bf73c475c451980,1460dc9245fe3e,6638,9a99,49,0f,b8d7,6f,0d,7d,68,5123,b0,21,4a,a5,d199,84,c85c6cbe8f0b,10
e920,dd3f50a2cc9cd09b,2c2bd9,7673f766,1e1dd1,b130,87,19afe9,63ddf6,2d8768c3cc7f2456c7,1fe58f,aa0374,9bade59d2dd7218a69b46a,b8d7ce39a0bedaf1be8bde,4a,be,ce4496f6103bf55161,d394de907fa125f531,93099f0e73de2254eb7e,e2db351e8f2923ec37,2b17d8,ee87dda1547c59d8583b,2e2b97f62b43838949bf,29d113,2dbbe1e1160e3ff2,def54831ce472237,764e95ffd1e8f3a9,62bf0d,5fd2,1b,4e,95,ae,85,7c,f3,4a,32,3c,37,a2,01,63,80fa2bedc39d,20
83bb,c983a24cc5,95a65d,23,5dfd4f,2c,c1,e998e7,c4,fca83da7fb3c7407f0e691,9b28b7,2e,7acabe3f4ac692e29f79,ac54c2,f9,d0,be6c1b3132,f1ce02,9f6429,a53d55,32,21,d2,0c,35c900,6366fb,109a29,57cd19,c7,89,13,63e2,b1,b7,35,ca,3f23,ea,e9,64,46,5809,ca,c3c98c,4c
05da,7b3c1905f7f148,53283f66,99,c6d91a,9f,20,c4d81c,1802,f5f88336a2052b8b0b,685c97,da05,f5fd04d06aa36950fe36,4eb6c9dd92728161ed7e,8e,d8,e0f199765c,91a15902a5,84ceb4,8af865,69,31,3f,42,7fb1aa,971afd,0ee592,566c,dd13,68,e7,8c,88,42,e4,9a,65,73,4f,08,12,5c,0d,bbeb07b72936ee73,35
e5d8,694d813b86,8b8b46,69,9cda6f,e8,67,ddbd5c,71,edb6ce3f9c8ee9320a6a47,298d79,6b,2a679bc0ca2073e522ea,01cfce,06,ce,d390fda516,735937,f3beaa,ad3104,fd,c8,e4,b9,b0d8f2,57b279,a76262,7428,10,d8,3a,26,ea,cf,9c,c9,14,59,59,f3,f9,f6,d7,0c6a33c895bbf4,65
2d62,d6be7fa87f,d646b9,45,b680b6,0e,c9,c2e591,b1,851bae30dc99e8835c93d7,010f3c,59,e8e25ba59bdf31748c18,c8577b,5c,a0,99c9456812,7f3f9e,dccf2d,7bfa17,7f,6a,bd,25,0890b8,35ddca,7d92f9,48f9a3,17,7b,c8,1b8b,c3,5f,2b,86,b001,8e,3f,5a,31,d2f4,8f,0b3f16,4d
2b88,6f40b650f1318d,999429ce,6d,6d75d7,7a,40,60abeb,5f33,0a9982bbc6954d684e,7fb157,3afc,c0e11ce33fa511cd896b,034b11d65b42e2f6c461,5e,be,0c18b81d8f,b0a07f2570,f40dbd,d5e220,01,23,e4,ed,620a50,92e869,5a2572,a24f,7bdf,77,4e,dc,93,a2,ff,58,e2,5f,0a,34,ef,49,ec,c860e640c3bd8ce8,e8
1cdc,0f58e2f2fcaa8f26,b3cb5c,04,d2f43a,13bc,c1,d4d998,aefcf7,c78799a630734dee7c,f32a9f,45bb71,5e2422f6ff35f2abce6b9c,69e177e2c82a05931e8454,16,2f,8d0d130e5ba72c9bf078,44ad788b0896b57cae6e,ec56eb53bd6af1b1528f0c,92f24038875d9ede77,9cefbb,d0eb12cec5ae2b4562c6,f238188b69ef498bc7f5,258e2f,8a6f8195d0e3a6c6,31a0b0549ff6751a,7de9ea1ef4cb8f9f,4c7c,4a9f,67,15,b8,d3,40,3c,5a,8b,a8,f3,56,55,de,8c,e1e9885a41e9582f4f13a88abb26,a3
473d,492e454ba3842583,dfb40d,9d,e12413,326f,cd,d5a190f9,f872d4,75e32e12fe2544f95f,17ce78,aaf971,3837ec275d505e3cfd1085,b6cea95955390c87744aaa,2f,41,ab4561461a5711b8ff,68f26884c3a50b37153d,f4dd96c92334181e3a0fb7,4f2d0b88ddd33cd6c0a1,8bb511,f4e10d9b5533b28e43,5541a56a742f542a892b,31241c,7fc6c27de08b76b7,a84f53a53a26a1,f393dfa45e74f88a,262fc6,ab76,9a,93,9878,88,e2,95,ca,ef,e1,80,54,f6,e0,53,2a50f28341865e,24
4fd7,edeb6da8d6,d39483,09,c46fb4,38,49,9c23a7,cf,82c77b5bbfe491f08b12e1,416162,c6,b2efd17b24ab51ef3190,858aec,c0,e6,31cc749ef6,10ad6e,808cf1,515e6e,0d,3a,b1,d8,273941,bb5ed3,017bad,f0b67b,98,ae,a5,0825,41,a0,1c,db,b1fc,48,c8,23,cb,617b,60,15cbe06fae7a142a,88
379b,6c7e444fc31b5b23,30ad6f,84482b75,1688d9,d8ed,52,630450d6,40ecba,f6167b4c24017a2fa0,9b2ac8,32b468,620385ed9313ced8123591,40b6c8359252cfe8e5fd24,05,d9,5f25b7ca85f5cc3d12,59c6f2de84ba14,59b91b48c6f282ce545b9b,1de15a5d0a29d54e55a1,41c430,6052e1e280742c685a,fbbec1fd4289b184a0,0a7763,ecd6d67694aa4423,67a6bd6abe2be9af,ac2c3adaab92bf30,eed418,9870,0b,93,38,ab,f1,0f,40,b3,ed,e9,2d,06,33,03,b948d1f54d7f73fd,fa
7bfc,d947cf4f58f5b69a,ecfae0,86a6d3d8,0db671,f021,ed,0f3c7e,1cb5d4,74b3b7c01409842763,b8ee81,ee9c3b,b8aae091a81277505bfcff,b63b56a2e8b4ad94f4dd48,0d,a6,8ad197663b16dffbba,618ef22875fd4e1b60,b27e030fd760573faf6876,f5fa00a615a9a7ef67,26747a,42f24380afe6d822cf33,b64de36f24ae8cfb83c8,131a45,f128e16a6a3c5a13,d29014211736b198,19b1d111d2c9ee06,9a9d,a9cb,3a,f6,72,11,6e,8b,5d,e0,e0,d3,1b,65,4b,92,96131d0a0e0bc311,57
83fb,36dd45f619c9aa,00836f,5a,7f844e,97,80,a9dd1e59,d7,68ad17384567f0aa3c8c,f6ad61,56,0382db440b0390ac2bf9841e,51e856,9f,d4,9c6e682c19,ae3313,b094d9,9ab6e9,e1,2d,31,45,23cf82,bcb0f2,a72d7a,187d17ee,72,ff,c2,64,ec,ce,ae,ea,78,42,7d,85,d0,66,33,b6048187659847,65
127f,c7abd57850,834560,6e,2f21ab,6c,6e,731592,5b,76ff632f0702583837935b,7f3d88,f7,2e69dd9d01420d0b22d8,6b19b4,9e,02,b3aef9e48b,25202b,55c1f5,685c54,4a,f7,bd,b3,2997e0,6b4574,44f827,208ec2,97,be,78,6527,f3,e0,65,dc,31cd,64,fe,59,db,a854,ba,af0a925adc9c4577,6c
3642,f6cd9ec36dacf47f,d92ae4,aa,3e7e53,66e5,a8,9d4a45,ab758d,5b6220418752020630,ab8da2,90d958,932405da50535fb9155864,78bade01b2f8f1e370,af,d1,40d4c771e9c053b51c,eadca63f6d6318d189,3bde9f41ed39ead614c387,a700b9e6caea40c1cf34,9601e0,cd0da0b2732f93f1979f,47b9dea92b28e086d865,3a91ac,99e435b69398f686,de1e85e27b21eb4d,3e8786e596858567,f755,035a,d5,86,c90f,f1,69,01,c0,f3,3c,64,8f,3a,c9,83,3d0e137caa7574,9a
b2e2,f8a409bc9b,0c3719,c7,7fb8a0,68,e4,1f59cd,4a,e53fecd179a86796d99531,ffa719,6b,780416db6bcabf7f850b61,688336,2e,e8,77673e78d9,2af073,a4fdf4,c92a75,fc,d2,77,fa,b58df5,e0aaf1,c3d1d8,f9dc,b2,cb,b7,d5,87,22,4e,34,a5,f1,cd,e6,97,34,c8,c26c4fe7caa9403b358321cce34c,49
b6a6,c7e8effb2bd3175a93,949b31,c1,79c2e7,79a2,94,cde05a0e,a9b444,6eeb46bb0c273116,314feb,0e2658,1f8f9553d3870e9a4dd3,b7b19088191d34b524,01,e7,b47561d3a3aed4de0c,275dc7978a3bbe01,c51d6893c0dc6985a2c743,3688a73bcb6b66fae6,7c7319,9e57f9db6e308c3dfd3e,92caf25a5f409cec21,00e541,b18663e72dffea8a,a3a59269a4b939d4,a65b982a1a9b682e,6ce5,12e5,8e,bb,ba,9f,f6,79,c1,dbce,f9,bd,03,5c,ea,30,cdbd8c32114b2a,4f
1e26,dfaaf75501,2435eb,fc,e3cf9d,4c,8f,2da716,60,e43bc29c3689cec412232e,f88dfd,83,9eb118cd92544a8b6649,a0786d,3e,3a,28d21ce730,496486,6b0639,734241,62,86,76,fb,60d976,12f6e0,a4337f,b7d4,e9,eb,e1,2f,e7,e1,d1,8a,6a,49,99,40,c5,3f,3d,0129ff00eda92c840f3af15ab97b,b7
787e,c77591ae26,adf09c,64,ef1f0c,8e,fc,f23df9,71,b74eaa54f47bea0711b2ce,144551,19,a66b17e78e46326f9a0c,a632a6,62,4a,c0020beb76,848f97,f31020,ec7a60,7a,8c,21,1e,1c4420,91e986,bfd796,989d,20,f9,12,d0,01,ca,92,35,35,09,72,82,42,bc,6b,e8fa2e1a8ae4ea0bad48e13ef2e6,83
e272,62280aaec8,802c,2e,d613c0,9a,6b,a0c448,a9,d1f43f96833ff530f8f721,aae138,c8,d323a1497a7cfdca6215,550b97,ff,6e,6ac93bb42c,f1915d,414093,e16a1f,bf,7f,23,07,fd652f,444ab7,9ff151,77ed3b,c4,07,47,7a73,1d,a1,b6,eb,363b,b8,8c,05,02,1c02,75,73bcf4,35
55bc,3a2d8efd1430a6df,da7ff8,ab9b40ff,7168c4,1f82,36,5fd8984e,6556e3a1,8cf14f2cd96273e2be,6c9f3d,1b371f,6325c1cc4b689b00544e07,556549d086432135f43511,3e,a4,67955d60f10f07cef7,4a872592e6d1fd15,a23b78a75202f77217d013,95c1d3b6beb4cce332,44e309,7c9b9bd0b04633a9,b305ef0a78f2474ea808,9f6817,4bb63eb269f9ad33,1748f0fd8ebb96f9,6d024d210eba57,eb4da3,80a552,f7,30dc77b1,09,5e,8a89,08,de,a86f,3a,d9,ac,165e,ed,55,6f0f3c561e3505a8,3a
bd28,ed60c024ea4e7b5d,90f2e6,78,33788f,9c43,214c,abaa319c,729ed4,d82343a7395916da,7f4d32,44d07b,f33c93db09d0258a0184e5,7c7b8f06ab8467ed072e,71,a3,021d2e2d870dbbdd172c,179cf46c7f40477f1d7b,8497cfc452743b793909a2,8bb8bf57c8ac193490656c,e58aba,23da8f0269817527d4f5,03cb4559e8d4bd220291,fa3140,7cc9adefbc0727b2,09c0f3ee0db4d2e9,7bc483c75ddb01ae,68e0,c939,40,38,7c,91,cd,5c,cc,c3,ab,ba,d8,79a5,10,d0,316dc218f1d7fd,e5
b84a,c6e49e2b8c,10901c,8f,43b99c,ed,b0,57669a,68,c4c1194101925de88b0d94,d84cb7,65,2e7c613c85ad53b0721d,357e62,f4,3a,10323f0b56,10459c,a30370,9b7282,0b,05,15,05,d09e16,b61dd8,4de238,2faf,6a,58,53,57,9c,74,46,78,7c,60,dd,84,de,07,59,9d449d0f14cbae4f3c15cdabf56a,ad
bb13,d748ecd71d,f924a679,13,e7e95d,67,ae,eeb975,f9,1dbed8d062ed006210b797,0fabf8,5f,5b029fed6fc48a703074,19216d,27,92,6dd1e141ad,3c513d,3c0353,116932,96,49,e9,66,8dd446,c79e15,8a0c59,4f72aa,db,51,6c,8648,68,9e,19,13,3b10,88,94,37,e1,8b0e,c3,37e068,cb
d97d,a59f8d576ffae839,ca5837,96,6d94c7,4049,807a,893dc0864e,8cddd5,f44199f5eec63ffdab,171843,747e86,c7cee7bf7816a1505f919e,8694f163407ada08b28183,b763,b5,0128f3ed2937effa6a,bb535893621e6e3149,8f40f1dab8980d2ed73052,bba5ac41f3da99e6bc,20048d,aa36846394b136676906,d888bddb7b4d4d24ca1a,19656c,a577627dad518fe9,456a92c862f7fd4a,d52facadc960fd87,01497d60,e700,77,39,ef,35,de,14,db,36,2c,5b,01,d3,00,b8,e7c4f81569ffbf,5b
